name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,557.00,6846.00,1191.00,5.70,16.00,7.00,444.00,402.00,641.00,4662.00,34.00,9.00,7.00,256.00,523.00,2184.00,25.00,4.20,151.00,97.00,840.00,37.00,185.00,48.10,8.10,28.40,240.00,6.63,37.00,2.74,331.00,5972.00,1046.00,5.70,41.00,21.00,340.00,369.00,594.00,4342.00,27.00,20.00,6.90,207.00,415.00,1630.00,10.00,3.90,100.00,101.00,932.00,33.00,196.00,30.10,20.40,26.10,225.00,5.50,30.30,1.68
miami,288.00,4984.00,981.00,5.10,26.00,13.00,288.00,293.00,504.00,3182.00,13.00,13.00,5.90,158.00,440.00,1802.00,15.00,4.10,93.00,82.00,724.00,37.00,186.00,27.40,12.90,25.30,230.00,5.44,26.80,1.42,317.00,5708.00,1073.00,5.30,16.00,6.00,320.00,353.00,600.00,3974.00,18.00,10.00,6.20,215.00,431.00,1734.00,10.00,4.00,79.00,121.00,1045.00,26.00,183.00,32.20,8.20,28.30,248.00,6.10,31.20,1.58
nyjets,281.00,4787.00,1034.00,4.60,37.00,18.00,299.00,272.00,493.00,2891.00,14.00,19.00,5.40,162.00,494.00,1896.00,12.00,3.80,102.00,83.00,708.00,35.00,194.00,24.20,17.50,27.80,231.00,5.47,24.60,1.26,375.00,5174.00,1019.00,5.10,23.00,12.00,293.00,266.00,494.00,3036.00,20.00,11.00,5.80,161.00,495.00,2138.00,17.00,4.30,96.00,109.00,805.00,36.00,193.00,30.60,11.40,28.70,232.00,5.40,26.80,1.68
buffalo,344.00,5486.00,983.00,5.60,34.00,17.00,301.00,309.00,511.00,3269.00,24.00,17.00,6.00,176.00,442.00,2217.00,12.00,5.00,103.00,104.00,871.00,22.00,190.00,30.00,17.40,27.30,232.00,5.30,28.80,1.66,435.00,5806.00,1042.00,5.60,21.00,9.00,349.00,306.00,536.00,3473.00,25.00,12.00,6.10,182.00,470.00,2333.00,23.00,5.00,136.00,80.00,693.00,31.00,186.00,37.10,10.80,30.30,235.00,5.80,31.20,2.15
baltimore,398.00,5640.00,1042.00,5.40,16.00,5.00,314.00,334.00,560.00,3739.00,22.00,11.00,6.30,182.00,444.00,1901.00,17.00,4.30,98.00,121.00,1127.00,34.00,193.00,35.80,7.80,27.00,222.00,5.57,29.20,1.88,344.00,5615.00,1086.00,5.20,25.00,12.00,326.00,335.00,557.00,3650.00,15.00,13.00,6.10,187.00,492.00,1965.00,15.00,4.00,105.00,107.00,929.00,34.00,192.00,34.90,12.00,27.30,242.00,5.90,29.00,1.67
cincinnati,391.00,5323.00,1016.00,5.20,26.00,10.00,292.00,335.00,540.00,3578.00,28.00,16.00,6.10,173.00,430.00,1745.00,11.00,4.10,95.00,99.00,857.00,24.00,195.00,35.40,12.80,31.20,230.00,5.39,27.20,1.86,320.00,5115.00,1034.00,4.90,30.00,16.00,307.00,346.00,560.00,3400.00,16.00,14.00,5.60,183.00,423.00,1715.00,13.00,4.10,99.00,90.00,779.00,25.00,191.00,29.30,14.10,25.60,229.00,5.60,26.70,1.49
pittsburgh,336.00,5324.00,1023.00,5.20,30.00,16.00,307.00,354.00,574.00,3787.00,27.00,14.00,6.20,202.00,412.00,1537.00,8.00,3.70,80.00,92.00,938.00,25.00,186.00,33.90,15.60,26.80,246.00,5.67,28.60,1.77,314.00,4413.00,951.00,4.60,20.00,10.00,273.00,299.00,523.00,2963.00,19.00,10.00,5.30,169.00,391.00,1450.00,9.00,3.70,78.00,100.00,882.00,26.00,182.00,30.80,10.40,29.70,227.00,5.40,24.20,1.54
cleveland,302.00,5028.00,998.00,5.00,26.00,8.00,279.00,328.00,566.00,3435.00,16.00,18.00,5.70,185.00,396.00,1593.00,12.00,4.00,71.00,113.00,1005.00,23.00,191.00,29.80,12.00,29.00,222.00,5.39,26.20,1.48,368.00,5821.00,1095.00,5.30,29.00,12.00,345.00,378.00,600.00,3923.00,27.00,17.00,6.10,203.00,457.00,1898.00,14.00,4.20,104.00,120.00,1008.00,38.00,199.00,30.70,14.60,28.10,236.00,5.60,29.30,1.74
houston,416.00,5953.00,1090.00,5.50,17.00,4.00,341.00,354.00,554.00,3830.00,22.00,13.00,6.60,205.00,508.00,2123.00,19.00,4.20,114.00,108.00,873.00,22.00,202.00,35.60,8.40,27.00,240.00,5.58,29.50,1.88,331.00,5172.00,1015.00,5.10,29.00,14.00,292.00,308.00,581.00,3612.00,29.00,15.00,5.80,167.00,390.00,1560.00,5.00,4.00,94.00,90.00,863.00,31.00,200.00,28.00,14.50,27.80,213.00,5.20,26.00,1.54
indianapolis,357.00,5799.00,1109.00,5.20,27.00,9.00,360.00,339.00,628.00,4128.00,23.00,18.00,6.20,208.00,440.00,1671.00,11.00,3.80,110.00,94.00,801.00,42.00,180.00,33.30,13.90,24.80,244.00,6.34,32.20,1.76,387.00,5988.00,995.00,6.00,15.00,3.00,325.00,334.00,535.00,3788.00,23.00,12.00,6.70,190.00,428.00,2200.00,14.00,5.10,102.00,128.00,1208.00,33.00,180.00,38.30,8.30,25.00,238.00,5.80,33.30,1.97
